en,Simon_Base,1,7927,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Bates,2,43510,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Baz,6,127758,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Baz_(Green_Lantern),1,21391,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Beare,1,8316,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Beaufoy,4,69282,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Beckett,1,11397,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Bedwell,2,18446,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Bell_(writer),1,6609,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Bellamy,6,115227,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Belmont,2,113252,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Bikindi,1,14941,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Birch,9,180474,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Bird,28,372706,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Birmingham,8,150953,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Black_(English_footballer),1,11484,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Blackburn,2,29324,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Blackwell,1,13297,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
en,Simon_Blitz,1,8871,file:///home/rsg23/sfuhome/cmpt353/e10/pagecounts-1/pagecounts-20160802-230000.gz
